"","Cube","IncTime","LC","Pond","NutRat","VitAdd","Year","P_F_B","P_Fm_B","P_Fm.F_B","P_Y_B","P_FvFM_B","P_Chl_B","P_F_G","P_Fm_G","P_Fm.F_G","P_Y_G","P_FvFM_G","P_Chl_G","P_F_Br","P_Fm_Br","P_Fm.F_Br","P_Y_Br","P_FvFM_Br","P_Chl_Br","P_F_PE","P_Fm_PE","P_Fm.F_PE","P_Y_PE","P_FvFM_PE","P_Chl_PE","P_F_E_B","P_Fm_E_B","P_Fm.F_E_B","P_Y_E_B","P_FvFM_E_B","P_Chl_E_B","P_F_E_G","P_Fm_E_G","P_Fm.F_E_G","P_Y_E_G","P_FvFM_E_G","P_Chl_E_G","P_F_E_Br","P_Fm_E_Br","P_Fm.F_E_Br","P_Y_E_Br","P_FvFM_E_Br","P_Chl_E_Br","P_F_E_PE","P_Fm_E_PE","P_Fm.F_E_PE","P_Y_E_PE","P_FvFM_E_PE","P_Chl_E_PE","L_TDN","L_TN","L_TDP","L_TP","L_DP","L_NH4","L_NOX","PP","Chl_445","EA_N","EA_C","Constant1","P_Chl_Total","Prop_Chl_B","Prop_Chl_G","Prop_Chl_Br","Prop_Chl_PE","Perc_Chl_B","Perc_Chl_G","Perc_Chl_Br","Perc_Chl_PE","PP1","CNRatio","CPRatio","NPRatio","CNPRatio","CPRatio1","NPRatio1","CNPRatio1"
"11","11",48,2,13,16,"yes","2022",1160,1414,260,0.18,0.18,3.7,1619,2573,992,0.39,0.39,6.2,1368,2005,643,0.32,0.32,3.5,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",793,976,18.5,30.2,1.85,23.6,41.1,0.015446332,8.405703333,0.118625872,0.843336359,1,13.4,0.276119402985075,0.462686567164179,0.261194029850746,0,27.6119402985075,46.2686567164179,26.1194029850746,0,0.015446332,7.10921104124739,54.5978397330836,7.67987325405151,"54.5978397330836:7.67987325405151:1",54.5978397330836,7.67987325405151,"54.5978397330836:7.67987325405151:1"
"12","12",48,2,13,16,"yes","2022",1004,1148,142,0.12,0.12,3.2,1735,2840,1111,0.39,0.39,6.7,1111,1590,479,0.3,0.3,2.9,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",738,1050,28.8,31.6,2.32,3.98,53.4,0.014365988,9.078870833,0.147499284,1.067453176,1,12.8,0.25,0.5234375,0.2265625,0,25,52.34375,22.65625,0,0.014365988,7.23700581488924,74.3041951587319,10.2672565228371,"74.3041951587319:10.2672565228371:1",74.3041951587319,10.2672565228371,"74.3041951587319:10.2672565228371:1"
"13","13",48,3,13,55,"no","2022",1403,2007,598,0.3,0.3,51.4,2807,4633,1789,0.39,0.39,123.4,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9170,3490,39,92.9,16.8,579,5580,0.275101747,529.3516458,1.726088524,15.45760751,1,174.8,0.294050343249428,0.705949656750572,0,0,29.4050343249428,70.5949656750572,0,0,0.275101747,8.95528085325478,56.1886926512321,6.27436409555044,"56.1886926512321:6.27436409555044:1",56.1886926512321,6.27436409555044,"56.1886926512321:6.27436409555044:1"
"14","14",48,3,13,55,"no","2022",1276,1754,482,0.27,0.27,46.7,3096,5104,1993,0.39,0.39,136.1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9140,10500,32.6,118,11.4,766,5580,0.112825055,87.0002675,1.067585647,8.144153357,1,182.8,0.2554704595186,0.7445295404814,0,0,25.54704595186,74.45295404814,0,0,0.112825055,7.62857142177371,72.1839077056067,9.46231000729404,"72.1839077056067:9.46231000729404:1",72.1839077056067,9.46231000729404,"72.1839077056067:9.46231000729404:1"
"15","15",48,3,13,55,"no","2022",1415,2025,607,0.3,0.3,77.7,2524,4162,1597,0.38,0.38,166.4,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9230,11500,80.4,644,31.5,852,5340,0.289956479,103.624355,5.962979794,65.89068413,1,244.1,0.318312167144613,0.681687832855387,0,0,31.8312167144613,68.1687832855387,0,0,0.289956479,11.0499593166993,227.24335858003,20.5650855416823,"227.24335858003:20.5650855416823:1",227.24335858003,20.5650855416823,"227.24335858003:20.5650855416823:1"
"16","16",48,3,13,55,"yes","2022",939,1315,368,0.28,0.28,51.6,1901,3212,1293,0.4,0.4,125.3,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9345,10800,40.5,118,14.6,764,5610,0.139383515,95.27629667,1.407222897,12.00671196,1,176.9,0.291690220463539,0.708309779536461,0,0,29.1690220463539,70.8309779536461,0,0,0.139383515,8.53220338128139,86.1415495225529,10.0960497157788,"86.1415495225529:10.0960497157788:1",86.1415495225529,10.0960497157788,"86.1415495225529:10.0960497157788:1"
"17","17",48,3,13,55,"yes","2022",1588,2202,612,0.28,0.28,58.2,2577,4186,1590,0.38,0.38,113.3,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8750,10000,70.6,138,27.1,582,5290,0.324842592,511.8988567,9.581454396,107.6221848,1,171.5,0.33935860058309,0.66064139941691,0,0,33.935860058309,66.064139941691,0,0,0.324842592,11.2323432698202,331.305646028092,29.4956838541665,"331.305646028092:29.4956838541665:1",331.305646028092,29.4956838541665,"331.305646028092:29.4956838541665:1"
"18","18",48,3,13,55,"yes","2022",1729,2432,700,0.29,0.29,63.3,3695,6284,2572,0.41,0.41,162.4,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",9310,6600,72.4,116,22.9,760,5530,0.17854599,105.3523225,1.528030783,15.36796212,1,225.7,0.28046078865751,0.71953921134249,0,0,28.046078865751,71.953921134249,0,0,0.17854599,10.0573642173804,86.0728494658435,8.55819155053552,"86.0728494658435:8.55819155053552:1",86.0728494658435,8.55819155053552,"86.0728494658435:8.55819155053552:1"
"19","19",48,4,13,110,"no","2022",2194,2591,383,0.15,0.15,23.8,3165,3426,246,0.07,0.07,41.2,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4340,2440,54.6,83.1,9.275,74.25,2805,0.095819434,73.625257,1.02499336,6.645543575,1,65,0.366153846153846,0.633846153846154,0,0,36.6153846153846,63.3846153846154,0,0,0.095819434,6.4834991467652,69.3548615096182,10.697134362117,"69.3548615096182:10.697134362117:1",69.3548615096182,10.697134362117,"69.3548615096182:10.697134362117:1"
"20","20",48,4,13,110,"no","2022",1962,2246,312,0.14,0.14,21.3,2936,3133,196,0.06,0.06,38.2,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4390,5490,40,115,9.51,67.9,2820,0.090777828,84.174722,0.623177253,4.134681821,1,59.5,0.357983193277311,0.642016806722689,0,0,35.7983193277311,64.2016806722689,0,0,0.090777828,6.63484073126141,45.5472653630796,6.86486190218166,"45.5472653630796:6.86486190218166:1",45.5472653630796,6.86486190218166,"45.5472653630796:6.86486190218166:1"
"21","21",48,4,13,110,"no","2022",2135,2541,349,0.14,0.14,23.2,2996,3387,268,0.08,0.08,39,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4620,5530,68.9,103,11.9,77.1,2820,0.090755321,39.36506,0.50126262,3.492487073,1,62.2,0.372990353697749,0.627009646302251,0,0,37.2990353697749,62.7009646302251,0,0,0.090755321,6.96737983973351,38.4824496736671,5.52323119434507,"38.4824496736671:5.52323119434507:1",38.4824496736671,5.52323119434507,"38.4824496736671:5.52323119434507:1"
"22","22",48,4,13,110,"yes","2022",1915,2282,371,0.16,0.16,20.8,3033,3273,226,0.07,0.07,39.5,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4240,5460,36.2,105,9.56,84.4,2840,0.086974117,72.831227,0.706393868,4.582709372,1,60.3,0.344941956882255,0.655058043117745,0,0,34.4941956882255,65.5058043117745,0,0,0.086974117,6.48747048863114,52.6904960932228,8.12188605490528,"52.6904960932228:8.12188605490528:1",52.6904960932228,8.12188605490528,"52.6904960932228:8.12188605490528:1"
"23","23",48,4,13,110,"yes","2022",1560,1802,263,0.15,0.15,25.4,2150,2303,153,0.07,0.07,42,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4430,5370,45.9,111,9.94,54.5,2820,0.083035362,63.237821,0.615550429,3.750789165,1,67.4,0.376854599406528,0.623145400593472,0,0,37.6854599406528,62.3145400593472,0,0,0.083035362,6.09339054656073,45.1709858867117,7.41311188599382,"45.1709858867117:7.41311188599382:1",45.1709858867117,7.41311188599382,"45.1709858867117:7.41311188599382:1"
"24","24",48,4,13,110,"yes","2022",1732,2037,323,0.16,0.16,28.2,2166,2321,154,0.07,0.07,42.3,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",4590,4170,63.5,99.4,13.5,67.4,2860,0.075720532,68.510942,0.568468608,3.657801151,1,70.5,0.4,0.6,0,0,40,60,0,0,0.075720532,6.43448222034452,48.3065960365942,7.50745660371219,"48.3065960365942:7.50745660371219:1",48.3065960365942,7.50745660371219,"48.3065960365942:7.50745660371219:1"
"25","25",48,13,13,0,"no","2022",977,1331,354,0.27,0.27,2,1607,3563,1956,0.55,0.55,4.1,2233,3783,1550,0.41,0.41,3.6,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",367,709,17.5,16,2.77,29,28.8,0.015086217,11.224754,0.137309274,1.190315336,1,9.7,0.206185567010309,0.422680412371134,0.371134020618557,0,20.6185567010309,42.2680412371134,37.1134020618557,0,0.015086217,8.66886337189431,78.900849430974,9.10163720964639,"78.900849430974:9.10163720964639:1",78.900849430974,9.10163720964639,"78.900849430974:9.10163720964639:1"
"26","26",48,13,13,0,"no","2022",933,1172,214,0.18,0.18,0.18,1588,3447,1876,0.54,0.54,0.54,2133,3511,1316,0.37,0.37,3.7,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",361,630,15.7,20.6,3.2,34.8,29.5,0.016054025,10.888976,0.153685333,1.144015417,1,4.42,0.0407239819004525,0.122171945701357,0.83710407239819,0,4.07239819004525,12.2171945701357,83.710407239819,0,0.016054025,7.44388156415681,71.2603485418766,9.57300944778646,"71.2603485418766:9.57300944778646:1",71.2603485418766,9.57300944778646,"71.2603485418766:9.57300944778646:1"
"27","27",48,13,13,0,"no","2022",670,872,192,0.22,0.22,2.2,1238,2466,1319,0.53,0.53,4.8,1482,2746,1153,0.42,0.42,3.8,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",421,631,11,17.7,3.82,35.5,33.1,0.015198753,9.586298,0.16255198,1.238293871,1,10.8,0.203703703703704,0.444444444444444,0.351851851851852,0,20.3703703703704,44.4444444444444,35.1851851851852,0,0.015198753,7.61783320633806,81.4733860731864,10.6950866298044,"81.4733860731864:10.6950866298044:1",81.4733860731864,10.6950866298044,"81.4733860731864:10.6950866298044:1"
"28","28",48,13,13,0,"yes","2022",631,753,152,0.2,0.2,2,991,2134,1140,0.53,0.53,3.8,1412,2163,865,0.4,0.4,3.6,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",356,621,16.8,14.6,2.96,31,30.2,0.015423825,13.53711,0.128988149,1.073546037,1,9.4,0.212765957446809,0.404255319148936,0.382978723404255,0,21.2765957446809,40.4255319148936,38.2978723404255,0,0.015423825,8.32282690559425,69.6031002037432,8.36291574884959,"69.6031002037432:8.36291574884959:1",69.6031002037432,8.36291574884959,"69.6031002037432:8.36291574884959:1"
"29","29",48,13,13,0,"yes","2022",626,894,251,0.28,0.28,2,1182,2632,1453,0.55,0.55,4.6,1419,2527,1051,0.42,0.42,3.7,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",330,624,10.5,19.4,2.05,22.9,30.4,0.014275959,9.69881,0.097755156,0.773140267,1,10.3,0.194174757281553,0.446601941747573,0.359223300970874,0,19.4174757281553,44.6601941747573,35.9223300970874,0,0.014275959,7.90894617364224,54.1568007445244,6.84753689752121,"54.1568007445244:6.84753689752121:1",54.1568007445244,6.84753689752121,"54.1568007445244:6.84753689752121:1"
"30","30",48,13,13,0,"yes","2022",773,1073,241,0.22,0.22,1.7,1524,3801,2106,0.55,0.55,3.9,1611,2950,1177,0.4,0.4,2.8,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",305,547,19.5,15.8,2.52,9.29,31.9,0.013758294,8.773809,0.119048711,0.981419384,1,8.4,0.202380952380952,0.464285714285714,0.333333333333333,0,20.2380952380952,46.4285714285714,33.3333333333333,0,0.013758294,8.24384720973585,71.332927178326,8.65286866235014,"71.332927178326:8.65286866235014:1",71.332927178326,8.65286866235014,"71.332927178326:8.65286866235014:1"
"31","31",48,5,14,16,"no","2022",807,787,0,0,0,3.9,2907,5743,2821,0.49,0.49,16.8,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",489,839,13.2,31.4,2.635,4.645,255.5,0.020758024,14.643478,0.130903982,1.047958583,1,20.7,0.188405797101449,0.811594202898551,0,0,18.8405797101449,81.1594202898551,0,0,0.020758024,8.00555160346459,50.4845057988178,6.30618704362226,"50.4845057988178:6.30618704362226:1",50.4845057988178,6.30618704362226,"50.4845057988178:6.30618704362226:1"
"32","32",48,5,14,16,"no","2022",1165,1388,272,0.2,0.2,5.6,2661,5507,2775,0.5,0.5,15.4,711,1418,648,0.46,0.46,2.7,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",569,860,15.2,26.3,2.74,4.62,287,0.01029219,16.838341,0.190443993,1.466659606,1,23.7,0.236286919831224,0.649789029535865,0.113924050632911,0,23.6286919831224,64.9789029535865,11.3924050632911,0,0.01029219,7.70126472826055,142.502189135646,18.5037385629298,"142.502189135646:18.5037385629298:1",142.502189135646,18.5037385629298,"142.502189135646:18.5037385629298:1"
"33","33",48,5,14,16,"no","2022",883,0,272,0,0,4.3,2414,0,2775,0,0,14,667,0,648,0,0,2.6,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",414,837,22.4,27.7,2.53,6.17,186,0.018867422,14.373918,0.129497126,1.026001349,1,20.9,0.205741626794258,0.669856459330144,0.124401913875598,0,20.5741626794258,66.9856459330144,12.4401913875598,0,0.018867422,7.92296617455433,54.3795198411315,6.86353048127084,"54.3795198411315:6.86353048127084:1",54.3795198411315,6.86353048127084,"54.3795198411315:6.86353048127084:1"
"34","34",48,5,14,16,"yes","2022",890,1021,139,0.14,0.14,4.3,2928,5971,3041,0.51,0.51,16.9,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",540,798,13.9,22.5,2.34,3.07,286,0.017021834,16.675726,0.186956841,1.572831571,1,21.2,0.202830188679245,0.797169811320755,0,0,20.2830188679245,79.7169811320755,0,0,0.017021834,8.41280566459721,92.4008289001056,10.9833547313409,"92.4008289001056:10.9833547313409:1",92.4008289001056,10.9833547313409,"92.4008289001056:10.9833547313409:1"
"35","35",48,5,14,16,"yes","2022",864,866,0,0,0,4.2,3266,6445,3126,0.49,0.49,18.9,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",533,698,18.6,25.4,1.8,6.31,285,0.016121547,17.311243,0.14034749,1.115115657,1,23.1,0.181818181818182,0.818181818181818,0,0,18.1818181818182,81.8181818181818,0,0,0.016121547,7.94539080820042,69.1692712244054,8.7055845198975,"69.1692712244054:8.7055845198975:1",69.1692712244054,8.7055845198975,"69.1692712244054:8.7055845198975:1"
"36","36",48,5,14,16,"yes","2022",809,818,0,0,0,3.9,3069,6201,3125,0.5,0.5,17.8,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",523,837,12.8,20.7,2.62,3.07,274,0.017944628,16.252048,0.165749416,1.230546311,1,21.7,0.179723502304147,0.820276497695853,0,0,17.9723502304147,82.0276497695853,0,0,0.017944628,7.42413663164882,68.5746347597732,9.2367150770693,"68.5746347597732:9.2367150770693:1",68.5746347597732,9.2367150770693,"68.5746347597732:9.2367150770693:1"
"37","37",48,6,14,55,"no","2022",0,0,0,0,0,0,2655,6201,3125,0.5,0.5,51.9,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",444,805,64.85,110,43.6,4.7,-3.73,0.04400793,55.044076,0.199417677,2.495769262,1,51.9,0,1,0,0,0,100,0,0,0.04400793,12.5152860044599,56.7118076673909,4.53140324936892,"56.7118076673909:4.53140324936892:1",56.7118076673909,4.53140324936892,"56.7118076673909:4.53140324936892:1"
"38","38",48,6,14,55,"no","2022",0,0,0,0,0,0,2784,7445,4703,0.63,0.63,54.4,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",453,861,66.9,108,45.1,6.79,-1.72,0.045245824,53.55505,0.27256174,3.360721469,1,54.4,0,1,0,0,0,100,0,0,0.045245824,12.3301291993513,74.2769425306521,6.02401980788327,"74.2769425306521:6.02401980788327:1",74.2769425306521,6.02401980788327,"74.2769425306521:6.02401980788327:1"
"39","39",48,6,14,55,"no","2022",0,0,0,0,0,0,2875,7119,4251,0.6,0.6,56.2,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",450,888,50.7,107,43.2,5.15,-0.257,0.049927316,57.4959,0.234015137,2.810052931,1,56.2,0,1,0,0,0,100,0,0,0.049927316,12.0079964357177,56.2828759110544,4.6871163072335,"56.2828759110544:4.6871163072335:1",56.2828759110544,4.6871163072335,"56.2828759110544:4.6871163072335:1"
"40","40",48,6,14,55,"yes","2022",0,0,0,0,0,0,2942,7442,4473,0.6,0.6,57.5,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",518,879,62.2,103,41.7,6.89,-0.936,0.046326168,53.658186,0.204123762,2.404289395,1,57.5,0,1,0,0,0,100,0,0,0.046326168,11.7785865371225,51.8991640966289,4.40623023255452,"51.8991640966289:4.40623023255452:1",51.8991640966289,4.40623023255452,"51.8991640966289:4.40623023255452:1"
"41","41",48,6,14,55,"yes","2022",0,0,0,0,0,0,2970,7671,4684,0.61,0.61,58,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",444.5,901.5,59,96.8,36.9,7.22,2.14,0.048509364,11.611514,0.294006709,3.423218429,1,58,0,1,0,0,0,100,0,0,0.048509364,11.6433344009167,70.5681985234851,6.060823823623,"70.5681985234851:6.060823823623:1",70.5681985234851,6.060823823623,"70.5681985234851:6.060823823623:1"
